model_name,popularity,best_price,highest_price,screen_size,memory_size,battery_size,release_date
Galaxy M10S M107F 3/32GB Black,145,4882.0,4999.0,6.4,32.0,4000.0,1792
Galaxy M115 M11 3/32 Black (SM-M115FZKN),1049,4171.0,4677.0,6.4,32.0,5000.0,1792
Galaxy M21 4/64GB Black (SM-M215FZKU),1204,5849.0,6181.0,6.4,64.0,6000.0,1792
Galaxy M30 SM-M305F 4/64GB Gradation Blue,443,6749.0,7838.0,6.4,64.0,5000.0,2128
Galaxy M31 6/128GB Black (SM-M315FZKU),1214,7196.0,7571.0,6.4,128.0,6000.0,1852
Galaxy M31s 6/128GB Blue (SM-M317FZBN),1184,8359.0,9199.0,6.5,128.0,6000.0,1639
Galaxy M51 6/128GB Black (SM-M515FZKD),1220,9620.0,10394.0,6.7,128.0,7000.0,1639
Galaxy Note 10 SM-N9700 8/256GB Black (SM-N9700ZKD),568,21353.0,23273.0,6.3,256.0,3500.0,2036
Galaxy Note 10 SM-N9700 8/256GB White,658,21852.0,23719.0,6.3,256.0,3500.0,2005
Galaxy Note 10 SM-N970F 8/256GB Black (SM-N970FZKD),1172,19940.0,28940.0,6.3,256.0,3500.0,2036
Galaxy Note 10+ SM-N9750 12/256GB Aura Glow,909,25252.0,26748.0,6.8,256.0,4300.0,2036
Galaxy Note 10+ SM-N975F 12/256GB Black (SM-N975FZKD),1113,23920.0,31163.0,6.8,256.0,4300.0,2036
Galaxy Note 10+ SM-N975F 12/512GB Aura Black,233,27973.0,31545.0,6.8,512.0,4300.0,2005
Galaxy Note 8 64GB Gold,744,9923.0,10598.0,6.3,64.0,3300.0,2766
Galaxy Note 8 N950F Single sim 128GB Black,184,18114.0,18626.0,6.3,128.0,3300.0,2462
Galaxy Note 8 N950F Single sim 128GB Black,217,18114.0,18626.0,6.3,128.0,3300.0,2462
Galaxy Note 9 N960 6/128GB Metallic Copper,889,14422.0,15467.0,6.4,128.0,4000.0,2401
Galaxy Note 9 N960 8/512GB Lavender Purple,164,20948.0,21871.0,6.4,512.0,4000.0,2370
